Admission_grade,Previous_qualification_grade,Age_at_enrollment,Gender,Debtor,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,AppMode_1,AppMode_2,AppMode_5,AppMode_7,AppMode_10,AppMode_15,AppMode_16,AppMode_17,AppMode_18,AppMode_26,AppMode_27,AppMode_39,AppMode_42,AppMode_43,AppMode_44,AppMode_51,AppMode_53,AppMode_57,Status_num
127.3,122.0,20,1,0,0,1,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142.5,160.0,19,1,0,0,0,6,6,14.0,6,6,13.666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
124.8,122.0,19,1,0,0,0,6,0,0.0,6,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.6,122.0,20,0,0,0,1,6,6,13.428571428571429,6,5,12.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
141.5,100.0,45,0,0,0,1,6,5,12.333333333333334,6,6,13.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
114.8,133.1,50,1,1,0,1,5,5,11.857142857142858,5,5,11.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
128.4,142.0,18,0,0,1,1,7,7,13.3,8,8,14.345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
113.1,119.0,22,1,0,0,0,5,0,0.0,5,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129.3,137.0,21,0,0,1,1,6,6,13.875,6,6,14.142857142857142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
123.0,138.0,18,0,1,0,0,6,5,11.4,6,2,13.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130.6,139.0,18,0,0,0,1,6,6,12.333333333333334,6,5,14.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
119.3,136.0,18,0,0,1,1,8,7,13.214285714285714,8,7,13.214285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
130.2,133.0,19,0,0,0,1,6,0,0.0,6,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.8,110.0,21,0,0,1,1,6,6,10.571428571428571,6,5,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
137.1,149.0,18,0,0,1,1,5,4,13.25,5,5,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
120.7,127.0,20,0,0,0,1,6,5,13.2,6,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137.4,137.0,18,0,0,0,1,6,1,12.0,6,2,11.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
127.3,135.0,18,0,0,0,1,7,7,13.30625,8,8,14.545,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
136.3,137.0,20,0,0,0,1,5,4,12.5,5,4,12.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
124.6,140.0,18,0,0,0,1,7,6,11.666666666666666,7,6,13.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120.3,122.0,21,0,0,1,1,0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
121.8,127.0,20,0,0,0,1,7,7,11.4375,8,8,11.425,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
125.5,142.0,18,0,0,0,1,8,7,12.857142857142858,8,7,12.857142857142858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
114.9,125.0,19,0,0,1,1,6,6,13.375,6,6,12.285714285714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
123.9,126.0,19,0,0,0,1,7,6,13.296666666666669,8,7,14.114285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
157.0,151.0,18,0,1,1,1,6,5,11.6,6,4,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116.4,115.0,21,0,0,0,1,6,6,11.375,6,6,13.285714285714286,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
131.0,138.0,18,0,0,0,1,5,5,12.666666666666666,5,4,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122.1,135.0,20,0,0,0,1,5,5,12.0,5,5,12.333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
118.8,127.0,19,1,0,0,1,7,6,12.933333333333332,7,6,13.716666666666669,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
150.0,150.0,21,1,0,0,1,6,5,11.857142857142858,6,5,10.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
130.0,125.0,20,1,0,0,1,6,6,12.833333333333334,6,4,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
138.8,143.0,18,1,0,0,0,5,3,11.333333333333334,5,2,13.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134.5,138.0,19,0,0,0,1,6,6,12.666666666666666,6,6,14.375,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
131.4,130.0,34,1,0,0,1,5,5,12.4,5,5,13.428571428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
102.5,130.0,37,1,1,0,0,7,0,0.0,7,1,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128.8,133.1,43,1,0,0,1,5,0,0.0,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122.9,140.0,55,0,0,0,1,5,1,10.0,5,2,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
113.9,120.0,39,0,0,0,1,5,5,11.0,5,5,11.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
120.0,120.0,20,0,1,0,0,6,3,11.666666666666666,6,3,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121.1,126.0,18,0,1,0,1,6,4,12.75,5,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.4,133.0,22,0,0,0,1,5,5,14.8,5,5,15.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100.6,103.0,22,0,0,0,1,7,5,13.928,8,7,14.342857142857142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
121.4,120.0,20,0,0,0,0,6,4,13.0,6,5,13.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109.7,133.1,29,0,0,0,1,5,0,0.0,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
134.1,154.0,24,0,0,0,1,5,2,11.5,5,3,14.333333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
127.6,130.0,18,0,0,0,1,6,6,11.666666666666666,6,5,13.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
132.4,132.0,22,0,0,1,1,7,6,13.516666666666666,8,7,13.771428571428572,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
133.4,130.0,21,0,0,1,1,6,6,11.5,6,6,13.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
126.1,139.0,19,0,0,1,1,6,5,12.333333333333334,6,6,12.833333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
113.5,130.0,24,0,0,1,1,6,6,13.666666666666666,6,6,14.166666666666666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
